machine ID,machine description
1355,1RB---_0RC---_0RD0LD_1LE0RE_0LA1LC
3867,1RB---_0RC---_0RD1LD_0LE0LA_1LE1LC
9822,1RB---_0RC---_0LD1RD_1LE0RB_1RD0LC
13145,1RB---_0RC---_1RD0LA_0LE0RE_1LB1LD
13513,1RB---_0RC---_1RD0LD_0LE1RB_1LC1RE
14150,1RB---_0RC---_1RD0LE_1LE1RB_1LC1LB
21993,1RB---_0RC---_1LD0RD_0LE0LB_1RB1LC
29720,1RB---_0RC0RA_0LD0RD_1LE0LE_0LA0LB
30083,1RB---_0RC0RA_0LD1RB_1LE0LB_1RD1LC
30498,1RB---_0RC0RA_0LD1LE_1LE0LB_1RD1LC
30567,1RB---_0RC0RA_1RD0LD_0LE0LB_1LC1RE
30627,1RB---_0RC0RA_1RD0LE_1LC0LB_0LD---
30657,1RB---_0RC0RA_1RD1RC_1LE0LB_0LB0LD
30863,1RB---_0RC0RA_1LC1RD_1LE0LD_1RB1RE
30908,1RB---_0RC0RA_1LD0RB_0LE0LA_1RC0LB
30918,1RB---_0RC0RA_1LD0RC_0LE0LD_0RA0LC
30919,1RB---_0RC0RA_1LD0RC_0LE1RC_1RA0LC
31123,1RB---_0RC0RA_1LD1RC_1RC0LE_1LA0LD
31131,1RB---_0RC0RA_1LD1RD_0LE0LB_0RB1LC
31137,1RB---_0RC0RA_1LD1RD_1RC0LE_1LA0LD
32947,1RB---_0RC0RB_0LD0RA_0LE1LE_1RC1LC
33357,1RB---_0RC0RB_0LD0RE_1LC0RD_1LA1LE
33363,1RB---_0RC0RB_0LD0RE_1LC0LB_1LA1LE
33364,1RB---_0RC0RB_0LD0RE_1LC0LD_1LA1LE
33979,1RB---_0RC0RB_0LD1RA_1LD0LE_1RE0LB
35178,1RB---_0RC0RB_0LD1LA_0LE1LD_0RA1LC
35393,1RB---_0RC0RB_0LD1LA_1LE1RB_0RD1LC
35432,1RB---_0RC0RB_0LD1LA_1LE1LD_1LC0RC
35433,1RB---_0RC0RB_0LD1LA_1LE1LD_1LC1RB
35975,1RB---_0RC0RB_0LD1LD_0LE1LE_1RA1LC
36411,1RB---_0RC0RB_1RD0RB_1LD0LE_0LC1LA
36854,1RB---_0RC0RB_1RD0LD_1LE0RA_0LB0LD
36855,1RB---_0RC0RB_1RD0LD_1LE0RA_0LB1LB
36861,1RB---_0RC0RB_1RD0LD_1LE0RB_1LA0LC
36903,1RB---_0RC0RB_1RD0LD_1LE1RD_1LA1LC
36920,1RB---_0RC0RB_1RD0LE_0LC0RA_1LC1RE
36949,1RB---_0RC0RB_1RD0LE_0LE0RA_1LC1RE
36987,1RB---_0RC0RB_1RD0LE_1LC0RA_1LC0LB
36988,1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RD
36989,1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RE
37483,1RB---_0RC0RB_1RD1LA_0LE0RE_1LD1LC
38061,1RB---_0RC0RB_1RD1LE_1LC0RA_0RE0LD
40236,1RB---_0RC0RB_1LD0RA_0LE0LC_1RC1LE
41065,1RB---_0RC0RB_1LD0LA_1LE---_0LC1LB
41552,1RB---_0RC0RB_1LD0LD_1RE1RA_1LE1LC
41904,1RB---_0RC0RB_1LD0LE_1LC1LA_1RB1LD
41920,1RB---_0RC0RB_1LD0LE_1LC1LE_1RA1LB
42035,1RB---_0RC0RB_1LD1RA_0LE0LA_0RB0LD
42117,1RB---_0RC0RB_1LD1RB_0LE0LA_0LB1RC
