machine; formula_tape; num_steps_until_formula_tape; num_macro_steps_until_special_case
1RB---_0RC---_0RD0LD_1LE0RE_0LA1LC; .<A010110(0110).; 109; 42
1RB---_0RC---_0RD1LD_0LE0LA_1LE1LC; .<A0110110(110).; 189; 62
1RB---_0RC---_0LD1RD_1LE0RB_1RD0LC; .<C011001(1001).; 104; 35
1RB---_0RC---_1RD0LA_0LE0RE_1LB1LD; .<B101010(1010).; 79; 29
1RB---_0RC---_1RD0LD_0LE1RB_1LC1RE; .11011011011011(011011)B>.; 301; 85
1RB---_0RC---_1RD0LE_1LE1RB_1LC1LB; .<B1010010010(010010)1.; 239; 84
1RB---_0RC---_1LD0RD_0LE0LB_1RB1LC; .<B01101011101(011101011101).; 867; 296
1RB---_0RC0RA_0LD0RD_1LE0LE_0LA0LB; .<A01010(1010).; 105; 37
1RB---_0RC0RA_0LD1RB_1LE0LB_1RD1LC; .010101(0101)B>.; 73; 26
1RB---_0RC0RA_0LD1LE_1LE0LB_1RD1LC; .010101(0101)B>.; 97; 34
1RB---_0RC0RA_1RD0LD_0LE0LB_1LC1RE; .<C10010(010010)1.; 149; 56
1RB---_0RC0RA_1RD0LE_1LC0LB_0LD---; .<C10010(010010)1.; 153; 58
1RB---_0RC0RA_1RD1RC_1LE0LB_0LB0LD; .<B010101(0101).; 65; 25
1RB---_0RC0RA_1LC1RD_1LE0LD_1RB1RE; .1110111(0111011101110111011101110111011101110111)1010A>.; 4569; 1366
1RB---_0RC0RA_1LD0RB_0LE0LA_1RC0LB; .1(1)00010(10)A>.; 69; 25
1RB---_0RC0RA_1LD0RC_0LE0LD_0RA0LC; .0101010(1010)A>.; 92; 33
1RB---_0RC0RA_1LD0RC_0LE1RC_1RA0LC; .11010101010(1010)A>.; 175; 55
1RB---_0RC0RA_1LD1RC_1RC0LE_1LA0LD; .<A10(1010)001.; 64; 23
1RB---_0RC0RA_1LD1RD_0LE0LB_0RB1LC; .0000010(010)10A>.; 110; 29
1RB---_0RC0RA_1LD1RD_1RC0LE_1LA0LD; .<A1010(10101010)001.; 191; 68
1RB---_0RC0RB_0LD0RA_0LE1LE_1RC1LC; .1011010010(010)C>.; 156; 48
1RB---_0RC0RB_0LD0RE_1LC0RD_1LA1LE; .<A110(10110).; 99; 36
1RB---_0RC0RB_0LD0RE_1LC0LB_1LA1LE; .<A11010(010).; 70; 23
1RB---_0RC0RB_0LD0RE_1LC0LD_1LA1LE; .<A11010(010).; 64; 21
1RB---_0RC0RB_0LD1RA_1LD0LE_1RE0LB; .10011(011)B>.; 69; 22
1RB---_0RC0RB_0LD1LA_0LE1LD_0RA1LC; .011010(10101010)C>.; 339; 120
1RB---_0RC0RB_0LD1LA_1LE1RB_0RD1LC; .(1)01100(100)0C>.; 127; 52
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC0RC; .<A111(1011)0.; 133; 51
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC1RB; .<A111(1011)0.; 123; 47
1RB---_0RC0RB_0LD1LD_0LE1LE_1RA1LC; .110110110110110(110)C>.; 211; 57
1RB---_0RC0RB_1RD0RB_1LD0LE_0LC1LA; .<A101010101(0101).; 127; 37
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB0LD; .010101010101010101010(101010)A>.; 444; 106
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB1LB; .010101010101010101010(101010)A>.; 542; 130
1RB---_0RC0RB_1RD0LD_1LE0RB_1LA0LC; .1(1)000100(00)B>.; 76; 27
1RB---_0RC0RB_1RD0LD_1LE1RD_1LA1LC; .<A1101111(11111111).; 271; 93
1RB---_0RC0RB_1RD0LE_0LC0RA_1LC1RE; .<C10101101(101)00.; 118; 38
1RB---_0RC0RB_1RD0LE_0LE0RA_1LC1RE; .<C10101101(101101)01.; 252; 88
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC0LB; .<C10101101(101101)01.; 274; 96
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RD; .<C10101101(101101)01.; 244; 86
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RE; .<C10101101(101101)01.; 244; 86
1RB---_0RC0RB_1RD1LA_0LE0RE_1LD1LC; .10(10)010(0)B>.; 70; 25
1RB---_0RC0RB_1RD1LE_1LC0RA_0RE0LD; .<C10101101(101101)01.; 278; 98
1RB---_0RC0RB_1LD0RA_0LE0LC_1RC1LE; .1(00100)B>.; 61; 22
1RB---_0RC0RB_1LD0LA_1LE---_0LC1LB; .<A0011011(011011).; 222; 78
1RB---_0RC0RB_1LD0LD_1RE1RA_1LE1LC; .1(1)(000)B>.; 65; 8
1RB---_0RC0RB_1LD0LE_1LC1LA_1RB1LD; .<A11(11)011.; 56; 19
1RB---_0RC0RB_1LD0LE_1LC1LE_1RA1LB; .<B101111(11111111).; 196; 72
1RB---_0RC0RB_1LD1RA_0LE0LA_0RB0LD; .0011001(1001)A>.; 115; 41
1RB---_0RC0RB_1LD1RB_0LE0LA_0LB1RC; .<A011(011).; 57; 21
1RB---_0RC0RB_1LD1RC_0LE1LB_1LC1LA; .<A101(101101101101).; 293; 102
1RB---_0RC0RB_1LD1RD_0LE0RB_0LB1LA; .<A101011(011).; 104; 35
1RB---_0RC0RB_1LD1RD_0LE1RE_0LB1LA; .<A101011(011).; 110; 37
1RB---_0RC0RB_1LD1LA_0RE0LE_1LC1RD; .10(10)0100(00)B>.; 91; 32
1RB---_0RC0RB_1LD1LA_0RE1LE_0LC1RC; .1(1)0100(00)B>.; 70; 25
1RB---_0RC0RB_1LD1LA_1RD0RE_1LE0LC; .1(1)0100(00)B>.; 70; 25
1RB---_0RC0RB_1LD1LA_1RE1LE_1LC0LD; .<A1110(111110).; 130; 48
1RB---_0RC0RB_1LD1LA_1LE0LB_0LC0LA; .1100(0100)B>.; 111; 42
1RB---_0RC0RB_1LD1LA_1LE0LB_1LC0LA; .<A1111111111(111).; 108; 27
1RB---_0RC0RB_1LD1LC_1LE0LB_0LA1LA; .<A111(111).; 51; 19
1RB---_0RC0RC_0RD0LD_1LE0RE_1LA1LC; .<A110110(0110).; 109; 42
1RB---_0RC0RC_0RD1LD_0LE1LA_1LE1LC; .<A1110110(110).; 189; 62
1RB---_0RC0RC_1RD0RD_0LE0RE_1LA1LD; .<A101010(1010).; 75; 27
1RB---_0RC0RC_1RD0LA_0LE0RE_1LA1LD; .<A101010(1010).; 69; 25
1RB---_0RC0RC_1RD0LE_1RE1RA_1LC0LD; .11101110111011(10111011)A>.; 336; 107
1RB---_0RC0RC_1RD1RA_1LE0LB_1RC0LD; .1110110110(110)C>.; 137; 40
1RB---_0RC0RC_1RD1LA_0LE0RE_1LA1LD; .<A101010(1010).; 69; 25
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LC; .<C101101101101101101(101).; 296; 67
1RB---_0RC0RD_0RD0LE_1RE1RA_1LC0LD; .011011001101100110110011(01100110110011)B>.; 1177; 386
1RB---_0RC0RD_0RD0LE_1LD1RE_1RA0LE; .11011(11011011)0011A>.; 364; 130
1RB---_0RC0RD_0RD1LA_1LD1RE_1RA0LE; .111(101111011110111)011A>.; 667; 209
1RB---_0RC0RD_0LD0LE_1LC0RB_1RA0LA; .<A001010(1010).; 162; 56
1RB---_0RC0RD_0LD1RA_1LE1LD_1RB0LE; .<E0010(0)1(1)0.; 72; 26
1RB---_0RC0RD_1RD0LA_1LE0RB_0LE0LC; .1010(1)010(00)B>.; 71; 19
1RB---_0RC0RD_1RD0LE_1RE1RA_1LC0LD; .11101101110111011(10111011)A>.; 432; 125
1RB---_0RC0RD_1LA1LD_0RE0LE_1LC0RC; .<A1101100110(0110).; 219; 58
1RB---_0RC0RD_1LA1LD_0LE0RE_1LC0RC; .<A11010(110).; 70; 26
1RB---_0RC0RD_1LA1LD_1RE0LC_1LC1RD; .<A101010(101010).; 200; 76
1RB---_0RC0RD_1LA1LE_1RE0RE_0LC0RC; .<A101010(1010).; 80; 27
1RB---_0RC0RD_1LA1LE_1RE0LB_0LC0RC; .<A101010(1010).; 80; 27
1RB---_0RC0RD_1LA1LE_1RE1LA_0LC0RC; .<A101010(1010).; 74; 25
1RB---_0RC0RD_1LC1LD_0RE1LE_0LC1LA; .<A1110110(110).; 187; 62
1RB---_0RC0RD_1LC1LD_0LE1LA_0RA0LB; .011101(1101)B>.; 124; 43
1RB---_0RC0RD_1LC1LD_1LA0LE_1RA0LE; .11111(1111)B>.; 95; 34
1RB---_0RC0RD_1LD0RB_0LE1LA_1RB0LC; .<A11001001(11001001).; 324; 110
1RB---_0RC0RD_1LD0RB_1RE0LE_0LA1RC; .<A00111(111).; 96; 34
1RB---_0RC0RD_1LD0RC_0LE---_1RA0LC; .11111111(1111)B>.; 121; 43
1RB---_0RC0RD_1LD0LA_1LE0RB_0LC1LB; .<A0011011(011011).; 222; 78
1RB---_0RC0RD_1LD0LE_0LC0LA_1RA1RB; .1(111)B>.; 43; 12
1RB---_0RC0RD_1LD1RA_0LE0LA_0RB0LD; .0011001(1001)A>.; 127; 45
1RB---_0RC0RD_1LD1RA_0LE0LD_1RA1LD; .<D0(100100)000010(00)1.; 221; 82
1RB---_0RC0RD_1LD1RA_0LE0LD_1RB1LD; .10(110110110110110)C>.; 424; 133
1RB---_0RC0RD_1LD1RB_1LE0RB_1LC0LA; .<A011(111111).; 99; 35
1RB---_0RC0RD_1LD1RE_0LE---_1RB0LB; .<B001(011101011101).; 537; 170
1RB---_0RC0RE_0LD0RB_1LE0RB_1LC1LA; .<A110(110).; 51; 19
1RB---_0RC0RE_0LD1RA_1LD0LE_1LB1RC; .<B10010010(010).; 185; 61
1RB---_0RC0RE_0LD1LC_1LE0RA_0LA1RC; .<A010110(110110).; 174; 66
1RB---_0RC0RE_1RD1LE_1LC0RA_0RE0LD; .<C10101101(101101)01.; 248; 88
1RB---_0RC0RE_1LC0LD_1RA0LD_1RA0LA; .1111111(1111)B>.; 142; 46
1RB---_0RC0RE_1LC0LD_1RA0LD_1RC1RD; .11(111111)011A>.; 118; 44
1RB---_0RC0RE_1LC0LD_1LE1RA_1LA0RB; .1110000(00)B>.; 72; 18
1RB---_0RC0RE_1LC1RD_1RA0LE_1LA0LD; .<A100000(000000)101.; 157; 52
1RB---_0RC0RE_1LD0RA_0LD1LB_0RB1LA; .00(00)1(1)00B>.; 66; 23
1RB---_0RC0RE_1LD0RC_0LE0LA_0RA1LC; .<A01101101101(101101).; 214; 69
1RB---_0RC0RE_1LD0RC_0LE0LD_0RA1LC; .010100100(100100)A>.; 213; 71
1RB---_0RC0RE_1LD0LA_1LB0LC_1LC1RB; .<B1101(0101)1.; 72; 25
1RB---_0RC0RE_1LD1RE_1RD1LB_1RA0LC; .011101(101)A>.; 113; 35
1RB---_0RC0RE_1LD1LA_0LE0RD_1RB0LC; .<A100100111(0011100111).; 548; 184
1RB---_0RC0RE_1LD1LA_1LB0LC_1RC0RD; .<B11010101(010101).; 138; 45
1RB---_0RC0RE_1LD1LA_1LE0LD_1RB0LC; .1101010101010101010101010101010101010101010101010101(0101)B>.; 1553; 226
1RB---_0RC0LA_0RD1RD_1LE0LB_1LD0LA; .<A0111(1111).; 119; 44
1RB---_0RC0LA_1RD0LD_1LE0RE_1RC1LB; .<B1101(0101).; 89; 34
1RB---_0RC0LA_1RD1LE_1LE0RB_0LB0LC; .<B01011(011).; 70; 27
1RB---_0RC0LA_1LD0RB_1LE0LD_1LB1LC; .<B11111(01111111)1.; 196; 68
1RB---_0RC0LA_1LD0RD_1LE1LB_0RB0LC; .<B11011011(011011).; 262; 94
1RB---_0RC0LA_1LD1RC_0LE0RB_1LB0RC; .(1)01011(1)C>.; 73; 28
1RB---_0RC0LA_1LD1RC_0LE1RE_1LB0RC; .(1)01011(1)C>.; 63; 24
1RB---_0RC0LB_0LD1RE_1LE0RA_0RD1LA; .0010100(10100)A>.; 138; 48
1RB---_0RC0LB_1RD0RD_1LE1RA_1RE0LD; .<B00001001001(001001).; 309; 94
1RB---_0RC0LB_1RD1LD_1RE1LA_0LC1RA; .<B001000010(00010).; 174; 47
1RB---_0RC0LB_1LB1RD_0LE1RE_1RA1LC; .(01111)A>.; 52; 20
1RB---_0RC0LB_1LD0RA_0LD1LE_0LA1LA; .<A0101(010010).; 120; 46
1RB---_0RC0LB_1LD0RA_0LE0LC_1RB1RC; .1(11001)B>.; 97; 32
1RB---_0RC0LB_1LD0RA_1LE0RC_1RD0LC; .1(11001)B>.; 89; 30
1RB---_0RC0LB_1LD0RA_1LE0LA_0RD0LC; .1(11001)B>.; 105; 36
1RB---_0RC0LB_1LD1RC_0LE0RD_1RB1LA; .<A101(001001).; 111; 41
1RB---_0RC0LB_1LD1RC_1LB1RE_1RA1RE; .011111(011111)1A>.; 149; 54
1RB---_0RC0LB_1LD1RC_1LB1LE_1RA1RE; .011111(011111)1A>.; 167; 60
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA0RD; .010111(10101111010111)A>.; 462; 160
1RB---_0RC0LB_1LD1RE_1LB1RC_1RA1RC; .011111(011111)1A>.; 149; 54
1RB---_0RC0LB_1LD1RE_1LB1LC_1RA1RC; .011111(011111)1A>.; 167; 60
1RB---_0RC0LC_0RD0LA_0LE0RC_1LE1LB; .<A001110(1110).; 156; 56
1RB---_0RC0LC_0RD0LA_0LE0RE_1LE1LB; .<A001110(1110).; 168; 60
1RB---_0RC0LC_0RD1RA_0LD1LE_0LA1LD; .<A01011(11)000.; 74; 24
1RB---_0RC0LC_0RD1RA_0LD1LE_1LA0LD; .<A110100(100)0.; 74; 24
1RB---_0RC0LC_0LD0RA_1LE1LC_1RC0LE; .<C1010101010(1010).; 128; 43
1RB---_0RC0LC_0LD1RE_1LB0RE_1LC0RA; .<B10010(1010).; 73; 26
