machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC---_0RD0LD_1LE0RE_0LA1LC; 0∞<A010110(0110)0∞; 109; 42
1RB---_0RC---_0RD1LD_0LE0LA_1LE1LC; 0∞<A0110110(110)0∞; 189; 62
1RB---_0RC---_0LD1RD_1LE0RB_1RD0LC; 0∞<C011001(1001)0∞; 104; 35
1RB---_0RC---_1RD0LA_0LE0RE_1LB1LD; 0∞<B101010(1010)0∞; 79; 29
1RB---_0RC---_1RD0LD_0LE1RB_1LC1RE; 0∞11011011011011(011011)B>0∞; 301; 85
1RB---_0RC---_1RD0LE_1LE1RB_1LC1LB; 0∞<B1010010010(010010)10∞; 239; 84
1RB---_0RC---_1LD0RD_0LE0LB_1RB1LC; 0∞<B01101011101(011101011101)0∞; 867; 296
1RB---_0RC0RA_0LD0RD_1LE0LE_0LA0LB; 0∞<A01010(1010)0∞; 105; 37
1RB---_0RC0RA_0LD1RB_1LE0LB_1RD1LC; 0∞010101(0101)B>0∞; 73; 26
1RB---_0RC0RA_0LD1LE_1LE0LB_1RD1LC; 0∞010101(0101)B>0∞; 97; 34
1RB---_0RC0RA_1RD0LD_0LE0LB_1LC1RE; 0∞<C10010(010010)10∞; 149; 56
1RB---_0RC0RA_1RD0LE_1LC0LB_0LD---; 0∞<C10010(010010)10∞; 153; 58
1RB---_0RC0RA_1RD1RC_1LE0LB_0LB0LD; 0∞<B010101(0101)0∞; 65; 25
1RB---_0RC0RA_1LC1RD_1LE0LD_1RB1RE; 0∞1110111(0111011101110111011101110111011101110111)1010A>0∞; 4569; 1366
1RB---_0RC0RA_1LD0RB_0LE0LA_1RC0LB; 0∞1(1)00010(10)A>0∞; 69; 25
1RB---_0RC0RA_1LD0RC_0LE0LD_0RA0LC; 0∞0101010(1010)A>0∞; 92; 33
1RB---_0RC0RA_1LD0RC_0LE1RC_1RA0LC; 0∞11010101010(1010)A>0∞; 175; 55
1RB---_0RC0RA_1LD1RC_1RC0LE_1LA0LD; 0∞<A10(1010)0010∞; 64; 23
1RB---_0RC0RA_1LD1RD_0LE0LB_0RB1LC; 0∞0000010(010)10A>0∞; 110; 29
1RB---_0RC0RA_1LD1RD_1RC0LE_1LA0LD; 0∞<A1010(10101010)0010∞; 191; 68
1RB---_0RC0RB_0LD0RA_0LE1LE_1RC1LC; 0∞1011010010(010)C>0∞; 156; 48
1RB---_0RC0RB_0LD0RE_1LC0RD_1LA1LE; 0∞<A110(10110)0∞; 99; 36
1RB---_0RC0RB_0LD0RE_1LC0LB_1LA1LE; 0∞<A11010(010)0∞; 70; 23
1RB---_0RC0RB_0LD0RE_1LC0LD_1LA1LE; 0∞<A11010(010)0∞; 64; 21
