machine; formula tape; number steps before formula tape; number macro steps before special case
1RB---_0RC---_0RD0LD_1LE0RE_0LA1LC; 0∞<A0101100110(0110)0∞; 109; 58
1RB---_0RC---_0RD1LD_0LE0LA_1LE1LC; 0∞<A0110110110(110)0∞; 189; 84
1RB---_0RC---_0LD1RD_1LE0RB_1RD0LC; 0∞<C0110011001(1001)0∞; 104; 49
1RB---_0RC---_1RD0LA_0LE0RE_1LB1LD; 0∞<B1010101010(1010)0∞; 79; 45
1RB---_0RC---_1RD0LD_0LE1RB_1LC1RE; 0∞11011011011011011011(011011)B>0∞; 301; 113
1RB---_0RC---_1RD0LE_1LE1RB_1LC1LB; 0∞<B1010010010010010(010010)10∞; 239; 116
1RB---_0RC---_1LD0RD_0LE0LB_1RB1LC; 0∞<B01101011101011101011101(011101011101)0∞; 867; 500
1RB---_0RC0RA_0LD0RD_1LE0LE_0LA0LB; 0∞<A010101010(1010)0∞; 105; 63
1RB---_0RC0RA_0LD1RB_1LE0LB_1RD1LC; 0∞0101010101(0101)B>0∞; 73; 36
1RB---_0RC0RA_0LD1LE_1LE0LB_1RD1LC; 0∞0101010101(0101)B>0∞; 97; 48
1RB---_0RC0RA_1RD0LD_0LE0LB_1LC1RE; 0∞<C10010010010(010010)10∞; 149; 88
1RB---_0RC0RA_1RD0LE_1LC0LB_0LD---; 0∞<C10010010010(010010)10∞; 153; 90
1RB---_0RC0RA_1RD1RC_1LE0LB_0LB0LD; 0∞<B0101010101(0101)0∞; 65; 35
1RB---_0RC0RA_1LC1RD_1LE0LD_1RB1RE; 0∞1110111011101110111011101110111011101110(1110111011101110111011101110111011101110)A>0∞; 3696; 2766
1RB---_0RC0RA_1LD0RB_0LE0LA_1RC0LB; 0∞11(1)0001010(10)A>0∞; 69; 31
1RB---_0RC0RA_1LD0RC_0LE0LD_0RA0LC; 0∞01010101010(1010)A>0∞; 92; 45
1RB---_0RC0RA_1LD0RC_0LE1RC_1RA0LC; 0∞110101010101010(1010)A>0∞; 175; 71
1RB---_0RC0RA_1LD1RC_1RC0LE_1LA0LD; 0∞<A101010(1010)0010∞; 64; 35
1RB---_0RC0RA_1LD1RD_0LE0LB_0RB1LC; 0∞0000010010(010)10A>0∞; 110; 37
1RB---_0RC0RA_1LD1RD_1RC0LE_1LA0LD; 0∞<A101010101010(10101010)0010∞; 191; 116
1RB---_0RC0RB_0LD0RA_0LE1LE_1RC1LC; 0∞1011010010010(010)C>0∞; 156; 60
1RB---_0RC0RB_0LD0RE_1LC0RD_1LA1LE; 0∞<A11010110(10110)0∞; 99; 64
1RB---_0RC0RB_0LD0RE_1LC0LB_1LA1LE; 0∞<A11010010(010)0∞; 70; 33
1RB---_0RC0RB_0LD0RE_1LC0LD_1LA1LE; 0∞<A11010010(010)0∞; 64; 29
1RB---_0RC0RB_0LD1RA_1LD0LE_1RE0LB; 0∞10011011(011)B>0∞; 69; 30
1RB---_0RC0RB_0LD1LA_0LE1LD_0RA1LC; 0∞01101010101010(10101010)C>0∞; 339; 216
1RB---_0RC0RB_0LD1LA_1LE1RB_0RD1LC; 0∞1(1)01100100(100)0C>0∞; 127; 68
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC0RC; 0∞<A1111011(1011)00∞; 133; 81
1RB---_0RC0RB_0LD1LA_1LE1LD_1LC1RB; 0∞<A1111011(1011)00∞; 123; 77
1RB---_0RC0RB_0LD1LD_0LE1LE_1RA1LC; 0∞110110110110110110(110)C>0∞; 211; 67
1RB---_0RC0RB_1RD0RB_1LD0LE_0LC1LA; 0∞<A1010101010101(0101)0∞; 127; 49
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB0LD; 0∞010101010101010101010101010(101010)A>0∞; 444; 130
1RB---_0RC0RB_1RD0LD_1LE0RA_0LB1LB; 0∞010101010101010101010101010(101010)A>0∞; 542; 160
1RB---_0RC0RB_1RD0LD_1LE0RB_1LA0LC; 0∞11(1)00010000(00)B>0∞; 76; 35
1RB---_0RC0RB_1RD0LD_1LE1RD_1LA1LC; 0∞<A110111111111111(11111111)0∞; 271; 165
1RB---_0RC0RB_1RD0LE_0LC0RA_1LC1RE; 0∞<C10101101101(101)000∞; 118; 50
1RB---_0RC0RB_1RD0LE_0LE0RA_1LC1RE; 0∞<C10101101101101(101101)010∞; 252; 136
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC0LB; 0∞<C10101101101101(101101)010∞; 274; 152
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RD; 0∞<C10101101101101(101101)010∞; 244; 134
1RB---_0RC0RB_1RD0LE_1LC0RA_1LC1RE; 0∞<C10101101101101(101101)010∞; 244; 134
1RB---_0RC0RB_1RD1LA_0LE0RE_1LD1LC; 0∞1010(10)0100(0)B>0∞; 70; 31
1RB---_0RC0RB_1RD1LE_1LC0RA_0RE0LD; 0∞<C10101101101101(101101)010∞; 278; 146
1RB---_0RC0RB_1LD0RA_0LE0LC_1RC1LE; 0∞100100(00100)B>0∞; 61; 46
1RB---_0RC0RB_1LD0LA_1LE---_0LC1LB; 0∞<A0011011011011(011011)0∞; 222; 122
1RB---_0RC0RB_1LD0LD_1RE1RA_1LE1LC; 0∞11(1)000(000)B>0∞; 65; 46
1RB---_0RC0RB_1LD0LE_1LC1LA_1RB1LD; 0∞<A1111(11)0110∞; 56; 23
1RB---_0RC0RB_1LD0LE_1LC1LE_1RA1LB; 0∞<B10111111111111(11111111)0∞; 196; 120
1RB---_0RC0RB_1LD1RA_0LE0LA_0RB0LD; 0∞00110011001(1001)A>0∞; 115; 57
1RB---_0RC0RB_1LD1RB_0LE0LA_0LB1RC; 0∞<A011011(011)0∞; 57; 33
1RB---_0RC0RB_1LD1RC_0LE1LB_1LC1LA; 0∞<A101101101101101(101101101101)0∞; 293; 198
1RB---_0RC0RB_1LD1RD_0LE0RB_0LB1LA; 0∞<A101011(011)0∞; 59; 35
