machine_id; machine; closed_states
66559; 1RB---_0RC0RD_0LC1LA_0RE0RD_1LE1RD; {'D', 'E'}
66562; 1RB---_0RC0RD_0LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
66567; 1RB---_0RC0RD_0LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
66580; 1RB---_0RC0RD_0LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
66607; 1RB---_0RC0RD_0LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
66633; 1RB---_0RC0RD_0LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
66688; 1RB---_0RC0RD_0LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
66690; 1RB---_0RC0RD_0LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
66694; 1RB---_0RC0RD_0LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
66715; 1RB---_0RC0RD_0LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
66727; 1RB---_0RC0RD_0LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
66748; 1RB---_0RC0RD_0LC1LA_1LE0RD_0LE1RD; {'D', 'E'}
66752; 1RB---_0RC0RD_0LC1LA_1LE0RD_1LE1RD; {'D', 'E'}
66775; 1RB---_0RC0RD_0LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
66776; 1RB---_0RC0RD_0LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
66777; 1RB---_0RC0RD_0LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
92590; 1RB---_0RC0RD_1LC1LA_0RD1LE_1RD0LE; {'D', 'E'}
92632; 1RB---_0RC0RD_1LC1LA_0RE0RD_1LE1RD; {'D', 'E'}
92670; 1RB---_0RC0RD_1LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
92747; 1RB---_0RC0RD_1LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
92838; 1RB---_0RC0RD_1LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
92884; 1RB---_0RC0RD_1LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
92936; 1RB---_0RC0RD_1LC1LA_0LE0LD_1RE1LD; {'D', 'E'}
92972; 1RB---_0RC0RD_1LC1LA_0LE1RD_1RD1LE; {'D', 'E'}
93081; 1RB---_0RC0RD_1LC1LA_1RD1LE_0LD0LE; {'D', 'E'}
93085; 1RB---_0RC0RD_1LC1LA_1RD1LE_1RD0LE; {'D', 'E'}
93118; 1RB---_0RC0RD_1LC1LA_1RE0LD_0RE1LD; {'D', 'E'}
93122; 1RB---_0RC0RD_1LC1LA_1RE0LD_1RE1LD; {'D', 'E'}
93146; 1RB---_0RC0RD_1LC1LA_1RE1LD_0LD0RE; {'D', 'E'}
93148; 1RB---_0RC0RD_1LC1LA_1RE1LD_0LD1RE; {'D', 'E'}
93151; 1RB---_0RC0RD_1LC1LA_1RE1LD_1LD1RE; {'D', 'E'}
93197; 1RB---_0RC0RD_1LC1LA_1LD1RE_0RD0RE; {'D', 'E'}
93201; 1RB---_0RC0RD_1LC1LA_1LD1RE_1LD0RE; {'D', 'E'}
93232; 1RB---_0RC0RD_1LC1LA_1LE0RD_0LE1RD; {'D', 'E'}
93239; 1RB---_0RC0RD_1LC1LA_1LE0RD_1LE1RD; {'D', 'E'}
93278; 1RB---_0RC0RD_1LC1LA_1LE1RD_0RD0LE; {'D', 'E'}
93279; 1RB---_0RC0RD_1LC1LA_1LE1RD_0RD1LE; {'D', 'E'}
93286; 1RB---_0RC0RD_1LC1LA_1LE1RD_1RD1LE; {'D', 'E'}
197717; 1RB---_0RC0LD_0LC1LA_0RD1LE_1RD0LE; {'D', 'E'}
197735; 1RB---_0RC0LD_0LC1LA_0RE0LD_1LD1RE; {'D', 'E'}
197774; 1RB---_0RC0LD_0LC1LA_0RE1LD_1LD1RE; {'D', 'E'}
197797; 1RB---_0RC0LD_0LC1LA_0LD1RE_1LD0RE; {'D', 'E'}
197805; 1RB---_0RC0LD_0LC1LA_0LE0RD_1RD1LE; {'D', 'E'}
